date,team_a,team_b,market_spread,model_spread,coverProb,impliedProb,edge,ev_per_1,kelly,stake_dollars
2026-01-21,Utah Valley,Southern Utah,-14.16,2.5,0.8526,0.5238095238095238,0.3287904761904762,0.6276909090909092,0.17261500000000002,172.615
2026-01-21,Furman,The Citadel,-12.23,2.5,0.8206,0.5238095238095238,0.29679047619047616,0.5666000000000001,0.155815,155.815
2026-01-21,Dayton,La Salle,-9.79,2.5,0.7832,0.5238095238095238,0.25939047619047617,0.4952000000000001,0.13618000000000002,136.18000000000004
2026-01-21,Troy,Old Dominion,-6.7,2.5,0.728,0.5238095238095238,0.20419047619047614,0.38981818181818184,0.1072,107.2
2026-01-21,Murray St.,Drake,-6.18,2.5,0.7154,0.5238095238095238,0.1915904761904762,0.3657636363636365,0.10058500000000004,100.58500000000004
