date,team_a,team_b,market_spread,model_spread,coverProb,impliedProb,edge,ev_per_1,kelly,stake_dollars
2026-01-23,USC Upstate,Gardner Webb,-17.15,2.5,0.8876,0.5238095238095238,0.3637904761904761,0.6945090909090909,0.19098999999999997,190.98999999999995
2026-01-23,Saint Louis,St. Bonaventure,-15.99,2.5,0.872,0.5238095238095238,0.34819047619047616,0.6647272727272728,0.18280000000000002,182.8
2026-01-23,Indiana,Rutgers,-12.5,2.5,0.8276,0.5238095238095238,0.30379047619047617,0.5799636363636365,0.15949000000000002,159.49
2026-01-23,Akron,Ohio,-11.5,2.5,0.814,0.5238095238095238,0.2901904761904761,0.5539999999999999,0.15234999999999996,152.34999999999997
