date,team_a,team_b,picked_team,confidence,tier,spread,moneyline,alignment
2026-01-24,Arizona,Stanford,Arizona,0.8934,RELAXED,-17.15,-500,✓ ALIGNED
2026-01-24,Kansas,Baylor,Kansas,0.8231,RELAXED,-3.5,-145,✓ ALIGNED
