Team,OffRating,DefRating,Source
Gettysburg Bullets,100,100,Sports-Reference
Gonzaga,100,100,Sports-Reference
Grambling,100,100,Sports-Reference
Grambling State,100,100,NCAA Hardcoded
Grand Canyon,100,100,Sports-Reference
Green Bay,100,100,Sports-Reference
Grinnell Pioneers,100,100,Sports-Reference
Grove City Wolverines,100,100,Sports-Reference
Hamline Pipers,100,100,Sports-Reference
Hampton,100,100,Sports-Reference
Hardin-Simmons,100,100,Sports-Reference
Hardin-Simmons Cowboys,100,100,Sports-Reference
Hartford,100,100,NCAA Hardcoded
Hartford Hawks,100,100,Sports-Reference
Harvard,100,100,Sports-Reference
Haskell (KS) Fighting Indians,100,100,Sports-Reference
Hawaii,100,100,Sports-Reference
High Point,100,100,Sports-Reference
Hiram Terriers,100,100,Sports-Reference
Hofstra,100,100,Sports-Reference
Holy Cross,100,100,Sports-Reference
Hope Flying Dutchmen,100,100,Sports-Reference
Houston,100,100,Sports-Reference
Houston Baptist,100,100,NCAA Hardcoded
Houston Christian,100,100,Sports-Reference
Howard,100,100,Sports-Reference
Idaho,100,100,Sports-Reference
Idaho State,100,100,Sports-Reference
Illinois,100,100,Sports-Reference
Illinois State,100,100,Sports-Reference
Illinois Wesleyan Titans,100,100,Sports-Reference
Illinois-Chicago,100,100,Sports-Reference
Incarnate Word,100,100,Sports-Reference
Indiana,100,100,Sports-Reference
Indiana State,100,100,Sports-Reference
Indianapolis,100,100,NCAA Hardcoded
Iona,100,100,Sports-Reference
Iowa,100,100,Sports-Reference
Iowa State,100,100,Sports-Reference
IU Indy,100,100,Sports-Reference
Jackson State,100,100,Sports-Reference
Jacksonville,100,100,Sports-Reference
Jacksonville State,100,100,Sports-Reference
James Madison,100,100,Sports-Reference
John Carroll Blue Streaks,100,100,Sports-Reference
Kalamazoo Hornets,100,100,Sports-Reference
Kansas,100,100,Sports-Reference
Kansas City,100,100,Sports-Reference
Kansas State,100,100,Sports-Reference
Kennesaw State,100,100,Sports-Reference
Kent State,100,100,Sports-Reference
Kentucky,100,100,Sports-Reference
Kentucky Wesleyan Panthers,100,100,Sports-Reference
Kenyon,100,100,NCAA Hardcoded
La Salle,100,100,Sports-Reference
Lafayette,100,100,Sports-Reference
Lake Forest Foresters,100,100,Sports-Reference
Lamar,100,100,Sports-Reference
Lawrence Tech,100,100,Sports-Reference
Le Moyne,100,100,Sports-Reference
Lehigh,100,100,Sports-Reference
Lewis Flyers,100,100,Sports-Reference
Liberty,100,100,Sports-Reference
Lindenwood,100,100,Sports-Reference
Lipscomb,100,100,Sports-Reference
Little Rock,100,100,Sports-Reference
LIU Brooklyn,100,100,NCAA Hardcoded
Long Beach State,100,100,Sports-Reference
Long Island University,100,100,Sports-Reference
Longwood,100,100,Sports-Reference
Louisiana,100,100,Sports-Reference
Louisiana State,100,100,Sports-Reference
Louisiana Tech,100,100,Sports-Reference
Louisiana-Monroe,100,100,Sports-Reference
Louisville,100,100,Sports-Reference
Loyola (IL),100,100,Sports-Reference
Loyola (LA) Wolfpack,100,100,Sports-Reference
Loyola (MD),100,100,Sports-Reference
Loyola Chicago,100,100,NCAA Hardcoded
Loyola Marymount,100,100,Sports-Reference
LSU,100,100,NCAA Hardcoded
Macalester Scots,100,100,Sports-Reference
Maine,100,100,Sports-Reference
Manchester Spartans,100,100,Sports-Reference
Manhattan,100,100,Sports-Reference
Marietta Pioneers,100,100,Sports-Reference
Marist,100,100,Sports-Reference
Marquette,100,100,Sports-Reference
Marshall,100,100,Sports-Reference
Maryland,100,100,Sports-Reference
Maryland-Baltimore,100,100,NCAA Hardcoded
Maryland-Baltimore County,100,100,Sports-Reference
Maryland-Eastern Shore,100,100,Sports-Reference
Massachusetts,100,100,Sports-Reference
Massachusetts Institute of Technology Engineers,100,100,Sports-Reference
Massachusetts-Lowell,100,100,Sports-Reference
McNeese State,100,100,Sports-Reference
Memphis,100,100,Sports-Reference
Mercer,100,100,Sports-Reference
Merchant Marine Mariners,100,100,Sports-Reference
Mercyhurst,100,100,Sports-Reference
Merrimack,100,100,Sports-Reference
Miami (FL),100,100,Sports-Reference
Miami (OH),100,100,Sports-Reference
Michigan,100,100,Sports-Reference
Michigan State,100,100,Sports-Reference
Middle Tennessee,100,100,Sports-Reference
Middle Tennessee State,100,100,NCAA Hardcoded
Millikin Big Blue,100,100,Sports-Reference
Millsaps Majors,100,100,Sports-Reference
Milwaukee,100,100,Sports-Reference
Minnesota,100,100,Sports-Reference
Minnesota A&amp;M Aggies,100,100,Sports-Reference
Mississippi,100,100,Sports-Reference
Mississippi College,100,100,Sports-Reference
Mississippi State,100,100,Sports-Reference
Mississippi Valley State,100,100,Sports-Reference
Missouri,100,100,Sports-Reference
