team_name,adjO,adjD,Source
Notre Dame,100,100,Sports-Reference
Oakland,100,100,Sports-Reference
Ohio State,100,100,Sports-Reference
Ohio University,100,100,NCAA Hardcoded
Oklahoma,100,100,Sports-Reference
Oklahoma State,100,100,Sports-Reference
Old Dominion,100,100,Sports-Reference
Oral Roberts,100,100,Sports-Reference
Oregon,100,100,Sports-Reference
Oregon State,100,100,Sports-Reference
Pacific,100,100,Sports-Reference
Penn State,100,100,Sports-Reference
Pennsylvania,100,100,Sports-Reference
Pittsburgh,100,100,Sports-Reference
Prairie View,100,100,Sports-Reference
Prairie View A&M,100,100,NCAA Hardcoded
Princeton,100,100,Sports-Reference
Providence,100,100,Sports-Reference
Purdue,100,100,Sports-Reference
Purdue Fort Wayne,100,100,Sports-Reference
Quinnipiac,100,100,Sports-Reference
Radford,100,100,Sports-Reference
Rhode Island,100,100,Sports-Reference
Rice,100,100,Sports-Reference
Richmond,100,100,Sports-Reference
Rider,100,100,Sports-Reference
Robert Morris,100,100,Sports-Reference
Rutgers,100,100,Sports-Reference
Sacramento State,100,100,Sports-Reference
Sacred Heart,100,100,Sports-Reference
Saint Francis,100,100,NCAA Hardcoded
Saint Joseph's,100,100,Sports-Reference
Saint Louis,100,100,Sports-Reference
Saint Mary's,100,100,NCAA Hardcoded
Sam Houston State,100,100,NCAA Hardcoded
Samford,100,100,Sports-Reference
San Diego,100,100,Sports-Reference
San Diego State,100,100,Sports-Reference
San Jose State,100,100,Sports-Reference
Santa Clara,100,100,Sports-Reference
Savannah State,100,100,Sports-Reference
Seton Hall,100,100,Sports-Reference
Siena,100,100,Sports-Reference
SIU Edwardsville,100,100,NCAA Hardcoded
SMU,100,100,NCAA Hardcoded
South Alabama,100,100,Sports-Reference
South Carolina,100,100,Sports-Reference
South Dakota,100,100,Sports-Reference
South Dakota State,100,100,Sports-Reference
South Florida,100,100,Sports-Reference
Southeast Missouri,100,100,NCAA Hardcoded
Southeastern Louisiana,100,100,Sports-Reference
Southern Illinois,100,100,Sports-Reference
Southern Methodist,100,100,Sports-Reference
Southern Miss,100,100,NCAA Hardcoded
Southern Mississippi,100,100,Sports-Reference
Southern University,100,100,NCAA Hardcoded
Southwestern Louisiana,100,100,NCAA Hardcoded
St. Bonaventure,100,100,Sports-Reference
St. John's,100,100,NCAA Hardcoded
Stanford,100,100,Sports-Reference
Stephen F. Austin,100,100,Sports-Reference
Stetson,100,100,Sports-Reference
Stony Brook,100,100,Sports-Reference
Syracuse,100,100,Sports-Reference
TCU,100,100,Sports-Reference
Temple,100,100,Sports-Reference
Tennessee,100,100,Sports-Reference
Tennessee State,100,100,Sports-Reference
Tennessee Tech,100,100,Sports-Reference
Tennessee-Martin,100,100,Sports-Reference
Texas,100,100,Sports-Reference
Texas A&M,100,100,NCAA Hardcoded
Texas A&M-Corpus Christi,100,100,NCAA Hardcoded
Texas Christian,100,100,NCAA Hardcoded
Texas Southern,100,100,Sports-Reference
Texas State,100,100,Sports-Reference
Texas Tech,100,100,Sports-Reference
Texas-Arlington,100,100,NCAA Hardcoded
Texas-San Antonio,100,100,NCAA Hardcoded
The Citadel,100,100,Sports-Reference
Toledo,100,100,Sports-Reference
Towson,100,100,Sports-Reference
Troy,100,100,Sports-Reference
Tulane,100,100,Sports-Reference
Tulsa,100,100,Sports-Reference
UAB,100,100,Sports-Reference
UAlbany,100,100,NCAA Hardcoded
UCLA,100,100,Sports-Reference
UConn,100,100,NCAA Hardcoded
ULM,100,100,NCAA Hardcoded
UMBC,100,100,NCAA Hardcoded
UNC-Asheville,100,100,NCAA Hardcoded
UNC-Wilmington,100,100,NCAA Hardcoded
UNCG,100,100,NCAA Hardcoded
UNI,100,100,NCAA Hardcoded
UNLV,100,100,NCAA Hardcoded
USC,100,100,NCAA Hardcoded
UT Martin,100,100,NCAA Hardcoded
UTA,100,100,NCAA Hardcoded
Utah,100,100,Sports-Reference
Utah State,100,100,Sports-Reference
UTEP,100,100,Sports-Reference
UTRGV,100,100,NCAA Hardcoded
Vanderbilt,100,100,Sports-Reference
VCU,100,100,NCAA Hardcoded
Vermont,100,100,Sports-Reference
Villanova,100,100,Sports-Reference
Virginia,100,100,Sports-Reference
Virginia Tech,100,100,Sports-Reference
Wake Forest,100,100,Sports-Reference
Washington,100,100,Sports-Reference
Washington State,100,100,Sports-Reference
Weber State,100,100,Sports-Reference
West Carolina,100,100,NCAA Hardcoded
West Virginia,100,100,Sports-Reference
Western Carolina,100,100,Sports-Reference
Western Illinois,100,100,Sports-Reference
Western Kentucky,100,100,Sports-Reference
Western Michigan,100,100,Sports-Reference
Wichita State,100,100,Sports-Reference
William & Mary,100,100,NCAA Hardcoded
Winthrop,100,100,Sports-Reference
Wisconsin,100,100,Sports-Reference
Wisconsin-Green Bay,100,100,NCAA Hardcoded
Wisconsin-Milwaukee,100,100,NCAA Hardcoded
Wofford,100,100,Sports-Reference
Wright State,100,100,Sports-Reference
Wyoming,100,100,Sports-Reference
Xavier,100,100,Sports-Reference
Yale,100,100,Sports-Reference
Youngstown State,100,100,Sports-Reference
Brooke,100,100,Manual D1 List
McNeese,100,100,Manual D1 List
Michigan Tech,100,100,Manual D1 List
Murray,100,100,Manual D1 List
St. Peter's,100,100,Manual D1 List
VMI,100,100,Manual D1 List
